PropertyID,Type,PropertyName,PropertyType,PropertyFor,Location,Address,ConstructionStatus,PropertySize,TransactionType,FloorAvaiableOn,Bedroom,Baths,Balconies,Garages,TotalFloor,Furnishing,Facing,LandArea,HandoverDate,Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection,Images,Price,Size,Bath,PostDateTime
237918,Apartment/Flats,LK Sunrise,Apartment/Flats,Sale,"Baridhara, Dhaka","Nurerchala, Baridhara",Ready,1515 sqft,New,2nd Floor,3,03,3,Parking 1,14,Semi-Furnished,West Facing,N/A,"February 15, 2019",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"['https://www.bdhousing.com/api/list/listings/100X100/237918/a76271ecb381aafa6a78cc7872470279.jpg', 'https://www.bdhousing.com/api/list/images/100X100/12068/55c845600e13193ad2f1bd4c9be83acb.jpg', 'https://www.bdhousing.com/api/list/images/100X100/12069/72177bad7bd65ccc0da353a28d390b6d.jpg', 'https://www.bdhousing.com/api/list/images/100X100/12070/42591c84309a1134f2538b3c426a74ae.jpg']",9900000.0,1515,3,2019-11-06 13:35:38
239345,Apartment/Flats,Fully ready 1310 sft Apartment@ Agargaon 60 feet road.,Apartment/Flats,Sale,"Agargaon, Dhaka","Pabna Goli, Agargaon 60 feet road.",Ready,1310 sqft,New,1st Floor,3,03,4,Parking 1,9,Unfurnished,East Facing,19 katha,"November 17, 2019",,True,True,True,True,True,True,,True,True,True,True,True,True,,,,,,True,True,True,,,True,,"['https://www.bdhousing.com/api/list/listings/100X100/239345/43b51d3a761fabd4d82d9999b68a908d.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14320/76ea541827057aa919b9c4e448eb2cdd.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14321/f06d478a1482e407a30dbc191580bdf7.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14322/2c42f2f4854b21d5ba6207b599053d50.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14323/efa75d3801bd2f07b57ca3ec080b555e.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14324/ce15a59b334f96d4d0f4eb467d55c316.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14325/b6e46929d01fda462e85c3d5d3481897.jpg', 'https://www.bdhousing.com/api/list/images/100X100/14326/e97ee7b15b195d14f0ee9dbc692bc355.jpg']",6788000.0,1310,3,2019-11-24 13:00:00
237715,Apartment/Flats,Khonika,Apartment/Flats,Sale,"Baridhara, Dhaka","Holding no-38/63 ,Solmaid Central Jamemosjid Road-02 ,Block- B,Word-02,Vatara, Dhaka-1212.",Under Construction,800 sqft,New,3rd Floor,2,02,1,Parking 1,10,Unfurnished,South Facing,6.84 katha,"September 25, 2022",True,True,True,,True,,,,,True,True,,True,,,,True,,,,True,True,,True,True,,['https://www.bdhousing.com/api/list/listings/100X100/237715/113c86c1ea599a6dd87ca56694e6fd98.JPG'],4420000.0,800,2,2019-11-24 13:00:00
